Dry sand - Load to 45.20% strain then unload to 0 pressure,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Unload@45.20 strain
7.58105,12.7922,,,,
7.60598,12.846,,,,
7.63092,12.9,,,,
7.65586,12.9541,,,,
7.6808,13.0083,,,,
7.70574,13.0626,,,,
7.73067,13.1171,,,,
7.75561,13.1717,,,,
7.78055,13.2265,,,,
7.80549,13.2814,,,,
7.83042,13.3365,,,,
7.85536,13.3917,,,,
7.8803,13.447,,,,
7.90524,13.5025,,,,
7.93017,13.5581,,,,
7.95511,13.6139,,,,
7.98005,13.6698,,,,
8.00499,13.7259,,,,
8.02993,13.7821,,,,
8.05486,13.8384,,,,
8.0798,13.895,,,,
8.10474,13.9516,,,,
8.12968,14.0084,,,,
8.15461,14.0654,,,,
8.17955,14.1225,,,,
8.20449,14.1798,,,,
8.22943,14.2372,,,,
8.25436,14.2948,,,,
8.2793,14.3525,,,,
8.30424,14.4104,,,,
8.32918,14.4685,,,,
8.35411,14.5267,,,,
8.37905,14.5851,,,,
8.40399,14.6436,,,,
8.42893,14.7023,,,,
8.45387,14.7612,,,,
8.4788,14.8202,,,,
8.50374,14.8794,,,,
8.52868,14.9388,,,,
8.55362,14.9983,,,,
8.57855,15.058,,,,
8.60349,15.1178,,,,
8.62843,15.1779,,,,
8.65337,15.2381,,,,
8.6783,15.2984,,,,
8.70324,15.359,,,,
8.72818,15.4197,,,,
8.75312,15.4806,,,,
8.77806,15.5416,,,,
8.80299,15.6029,,,,
8.82793,15.6643,,,,
8.85287,15.7259,,,,
8.87781,15.7877,,,,
8.90274,15.8496,,,,
8.92768,15.9118,,,,
8.95262,15.9741,,,,
8.97756,16.0366,,,,
9.00249,16.0993,,,,
9.02743,16.1621,,,,
9.05237,16.2252,,,,
9.07731,16.2884,,,,
9.10224,16.3519,,,,
9.12718,16.4155,,,,
9.15212,16.4793,,,,
9.17706,16.5433,,,,
9.20199,16.6075,,,,
9.22693,16.6719,,,,
