Hydrostat,,,,,
,,,,,
,,,,,
Dry sand,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Loading
7.86,13.3917,,,,
7.88,13.447,,,,
7.91,13.5025,,,,
7.93,13.5581,,,,
7.96,13.6139,,,,
7.98,13.6698,,,,
8.00,13.7259,,,,
8.03,13.7821,,,,
8.05,13.8384,,,,
8.08,13.895,,,,
8.10,13.9516,,,,
8.13,14.0084,,,,
8.15,14.0654,,,,
8.18,14.1225,,,,
8.20,14.1798,,,,
8.23,14.2372,,,,
8.25,14.2948,,,,
8.28,14.3525,,,,
8.30,14.4104,,,,
8.33,14.4685,,,,
8.35,14.5267,,,,
8.38,14.5851,,,,
8.40,14.6436,,,,
8.43,14.7023,,,,
8.45,14.7612,,,,
8.48,14.8202,,,,
8.50,14.8794,,,,
8.53,14.9388,,,,
8.55,14.9983,,,,
8.58,15.058,,,,
8.60,15.1178,,,,
8.63,15.1779,,,,
8.65,15.2381,,,,
8.68,15.2984,,,,
8.70,15.359,,,,
8.73,15.4197,,,,
8.75,15.4806,,,,
8.78,15.5416,,,,
8.80,15.6029,,,,
8.83,15.6643,,,,
8.85,15.7259,,,,
8.88,15.7877,,,,
8.90,15.8496,,,,
8.93,15.9118,,,,
8.95,15.9741,,,,
8.98,16.0366,,,,
9.00,16.0993,,,,
9.03,16.1621,,,,
9.05,16.2252,,,,
9.08,16.2884,,,,
9.10,16.3519,,,,
9.13,16.4155,,,,
9.15,16.4793,,,,
9.18,16.5433,,,,
9.20,16.6075,,,,
9.23,16.6719,,,,
9.25,16.7365,,,,
9.28,16.8012,,,,
9.30,16.8662,,,,
9.33,16.9314,,,,
9.35,16.9968,,,,
9.38,17.0623,,,,
9.40,17.1281,,,,
9.43,17.1941,,,,
9.45,17.2602,,,,
9.48,17.3266,,,,
9.50,17.3932,,,,
9.53,17.46,,,,
9.55,17.527,,,,
9.58,17.5942,,,,
9.60,17.6616,,,,
9.63,17.7292,,,,
9.65,17.797,,,,
9.68,17.8651,,,,
9.70,17.9334,,,,
9.73,18.0018,,,,
9.75,18.0705,,,,
9.78,18.1394,,,,
9.80,18.2086,,,,
9.83,18.2779,,,,
9.85,18.3475,,,,
9.88,18.4172,,,,
9.90,18.4873,,,,
9.93,18.5575,,,,
9.95,18.628,,,,
9.98,18.6986,,,,
10.00,18.7696,,,,
10.05,18.9121,,,,
10.10,19.0555,,,,
10.15,19.1999,,,,
10.20,19.3452,,,,
10.25,19.4914,,,,
10.30,19.6387,,,,
10.35,19.7869,,,,
10.40,19.9361,,,,
10.45,20.0862,,,,
10.50,20.2374,,,,
10.55,20.3896,,,,
10.60,20.5428,,,,
10.65,20.6971,,,,
10.70,20.8524,,,,
10.75,21.0087,,,,
10.80,21.1661,,,,
10.85,21.3246,,,,
10.90,21.4842,,,,
10.95,21.6448,,,,
11.00,21.8066,,,,
11.05,21.9695,,,,
11.10,22.1335,,,,
11.15,22.2987,,,,
11.20,22.465,,,,
11.25,22.6325,,,,
11.30,22.8012,,,,
11.35,22.971,,,,
11.40,23.1421,,,,
11.45,23.3143,,,,
11.50,23.4878,,,,
11.55,23.6625,,,,
11.60,23.8385,,,,
11.65,24.0157,,,,
11.70,24.1942,,,,
11.75,24.3739,,,,
11.80,24.555,,,,
11.85,24.7374,,,,
11.90,24.921,,,,
11.95,25.1061,,,,
12.00,25.2924,,,,
12.04,25.4801,,,,
12.09,25.6692,,,,
12.14,25.8597,,,,
12.19,26.0516,,,,
12.24,26.2449,,,,
12.29,26.4396,,,,
12.34,26.6357,,,,
12.39,26.8333,,,,
12.44,27.0323,,,,
12.49,27.2329,,,,
12.54,27.4349,,,,
12.59,27.6384,,,,
12.64,27.8435,,,,
12.69,28.05,,,,
12.74,28.2582,,,,
12.79,28.4679,,,,
12.84,28.6791,,,,
12.89,28.892,,,,
12.94,29.1064,,,,
12.99,29.3225,,,,
13.04,29.5402,,,,
13.09,29.7596,,,,
13.14,29.9806,,,,
13.19,30.2033,,,,
13.24,30.4277,,,,
13.29,30.6538,,,,
13.34,30.8817,,,,
13.39,31.1112,,,,
13.44,31.3426,,,,
13.49,31.5757,,,,
13.54,31.8106,,,,
13.59,32.0473,,,,
13.64,32.2858,,,,
13.69,32.5262,,,,
13.74,32.7684,,,,
13.79,33.0125,,,,
13.84,33.2585,,,,
13.89,33.5064,,,,
13.94,33.7562,,,,
13.99,34.0079,,,,
14.04,34.2616,,,,
14.09,34.5173,,,,
14.14,34.7749,,,,
14.19,35.0346,,,,
14.24,35.2963,,,,
14.29,35.56,,,,
14.34,35.8258,,,,
14.39,36.0937,,,,
14.44,36.3637,,,,
14.49,36.6358,,,,
14.54,36.91,,,,
