Yield surface,
,
Dry sand,
,Deviatoric
pressure,yield
(MPa),stress (MPa)
31.3426,29.4818
31.5757,29.7015
31.8106,29.9228
32.0473,30.1459
32.2858,30.3707
32.5262,30.5972
32.7684,30.8255
33.0125,31.0555
33.2585,31.2874
33.5064,31.521
33.7562,31.7564
34.0079,31.9937
34.2616,32.2328
34.5173,32.4737
34.7749,32.7166
35.0346,32.9613
35.2963,33.2079
35.56,33.4565
35.8258,33.707
36.0937,33.9595
36.3637,34.2139
36.6358,34.4704
36.91,34.7288
37.1864,34.9893
37.4649,35.2519
37.7457,35.5164
38.0286,35.7831
38.3138,36.0519
38.6012,36.3228
38.8909,36.5959
39.1829,36.8711
39.4772,37.1484
39.7738,37.428
40.0728,37.7098
40.3741,37.9938
40.6778,38.28
40.984,38.5686
41.2925,38.8594
41.6035,39.1525
41.917,39.448
42.2329,39.7458
42.5514,40.0459
42.8724,40.3485
43.1959,40.6534
43.5221,40.9608
43.8508,41.2707
44.1821,41.583
44.5161,41.8978
44.8528,42.2151
45.1921,42.5349
45.5342,42.8573
45.8789,43.1823
46.2265,43.5098
46.5768,43.84
46.9299,44.1728
47.2858,44.5083
47.6446,44.8465
48.0062,45.1873
48.3707,45.5309
48.7382,45.8773
49.1086,46.2264
49.4819,46.5783
49.8583,46.933
50.2377,47.2906
50.6201,47.6511
51.0055,48.0144
51.3941,48.3806
51.7858,48.7498
52.1806,49.122
52.5786,49.4971
52.9798,49.8752
53.3842,50.2564
53.7918,50.6406
54.2027,51.0279
54.6169,51.4183
55.0344,51.8119
55.4553,52.2086
55.8796,52.6085
56.3073,53.0116
56.7384,53.4179
57.1729,53.8276
57.611,54.2405
58.0526,54.6567
58.4977,55.0762
58.9464,55.4991
59.3986,55.9254
59.8546,56.3552
60.3142,56.7884
60.7774,57.225
61.2444,57.6652
61.7152,58.1089
62.1897,58.5562
62.668,59.007
63.1502,59.4615
63.6362,59.9196
64.1262,60.3814
64.62,60.8469
65.1179,61.3161
65.6197,61.7891
66.1255,62.2659
66.6354,62.7465
67.1494,63.231
67.6675,63.7194
68.1898,64.2116
68.7163,64.7078
69.2469,65.208
69.7819,65.7122
70.3211,66.2205
70.8646,66.7328
71.4125,67.2492
71.9648,67.7697
72.5215,68.2944
73.0826,68.8234
73.6483,69.3565
74.2184,69.8939
74.7931,70.4356
75.3725,70.9816
75.9564,71.5321
76.545,72.0868
77.1384,72.6461
77.7364,73.2098
78.3393,73.778
78.9469,74.3507
79.5594,74.928
80.1768,75.5099
80.7991,76.0965
81.4264,76.6877
82.0587,77.2837
82.696,77.8844
83.3384,78.4899
83.986,79.1002
84.6386,79.7153
85.2965,80.3354
85.9596,80.9604
86.628,81.5904
87.3017,82.2253
87.9808,82.8654
88.6652,83.5105
89.3551,84.1607
90.0505,84.8161
90.7514,85.4767
91.4579,86.1426
92.1699,86.8137
92.8877,87.4902
93.6111,88.172
94.3402,88.8592
95.0751,89.5519
95.8159,90.25
96.5625,90.9537
97.315,91.663
98.0735,92.3778
98.838,93.0983
99.6085,93.8246
100.385,94.5565
101.168,95.2942
101.957,96.0378
102.752,96.7872
103.553,97.5426
104.361,98.3038
105.175,99.0712
105.996,99.8445
106.823,100.624
107.656,101.409
108.496,102.201
109.343,102.999
110.196,103.803
111.056,104.614
111.923,105.431
112.797,106.254
113.677,107.084
114.565,107.921
115.459,108.763
116.361,109.613
117.269,110.469
118.185,111.332
119.107,112.202
120.037,113.078
120.974,113.961
121.919,114.852
122.871,115.749
123.83,116.653
124.797,117.564
125.772,118.483
126.754,119.408
127.743,120.341
128.741,121.281
129.746,122.228
130.759,123.183
131.78,124.145
132.809,125.115
133.846,126.092
134.891,127.077
135.944,128.069
137.005,129.069
138.072,130.072
139.141,131.076
140.212,132.083
141.286,133.092
142.362,134.103
143.44,135.117
144.521,136.133
145.606,137.153
146.694,138.176
147.785,139.202
148.88,140.232
149.979,141.266
151.083,142.303
152.19,143.345
153.302,144.391
154.419,145.442
155.54,146.497
156.666,147.557
157.798,148.622
158.935,149.692
160.078,150.767
161.227,151.848
162.381,152.935
163.542,154.027
164.709,155.126
165.882,156.231
167.062,157.342
168.249,158.459
169.443,159.584
170.644,160.715
171.853,161.853
173.069,162.998
174.293,164.151
175.525,165.312
176.765,166.48
178.014,167.656
179.271,168.839
180.536,170.032
181.811,171.232
183.094,172.442
184.387,173.66
185.689,174.886
187.001,176.122
188.322,177.368
189.654,178.622
190.996,179.887
192.348,181.161
193.71,182.445
195.083,183.739
196.468,185.044
197.863,186.359
199.269,187.685
200.688,189.022
202.117,190.369
203.559,191.728
205.012,193.099
206.478,194.481
207.957,195.874
209.448,197.28
210.952,198.698
212.469,200.128
213.999,201.571
215.542,203.026
217.099,204.495
218.67,205.976
220.256,207.471
221.855,208.979
223.469,210.501
225.097,212.036
226.74,213.586
228.399,215.15
230.072,216.728
231.761,218.321
233.466,219.929
235.187,221.552
236.924,223.19
238.677,224.843
240.446,226.513
242.233,228.197
244.036,229.898
245.856,231.615
247.694,233.349
249.55,235.099
251.423,236.866
253.314,238.65
255.224,240.452
257.152,242.271
259.099,244.107
261.065,245.961
263.05,247.834
265.054,249.725
267.078,251.634
269.122,253.562
271.186,255.509
273.27,257.475
275.375,259.461
277.5,261.466
279.647,263.491
281.815,265.537
284.004,267.602
286.215,269.688
288.448,271.795
290.704,273.922
292.981,276.071
295.282,278.241
297.605,280.433
299.952,282.647
302.322,284.883
304.715,287.142
307.133,289.422
309.575,291.726
312.041,294.053
314.532,296.403
317.048,298.777
319.589,301.174
322.156,303.596
324.749,306.042
327.367,308.512
330.012,311.007
332.683,313.527
335.381,316.073
338.106,318.644
340.858,321.241
343.639,323.864
346.446,326.513
349.283,329.188
352.147,331.891
355.04,334.621
357.962,337.377
360.914,340.162
363.895,342.974
366.906,345.815
369.947,348.684
373.018,351.582
376.12,354.508
379.253,357.464
382.418,360.449
385.613,363.464
388.841,366.509
395.367,372.694
402.022,379.001
408.81,385.434
415.732,391.994
422.792,398.684
429.991,405.506
437.333,412.463
444.819,419.557
452.453,426.791
460.236,434.166
468.172,441.685
476.263,449.352
484.512,457.168
492.922,465.135
501.494,473.257
510.233,481.537
519.141,489.976
528.22,498.577
537.474,507.344
546.905,516.278
556.516,525.383
566.311,534.662
576.293,544.117
586.464,553.751
596.827,563.568
607.386,573.569
618.144,583.758
629.104,594.139
640.269,604.713
651.642,615.485
663.228,626.457
675.028,637.632
687.047,649.014
699.288,660.606
711.754,672.411
724.449,684.433
737.377,696.674
750.541,709.139
763.944,721.83
777.591,734.751
791.485,747.906
805.629,761.298
820.029,774.931
834.687,788.808
849.607,802.933
864.794,817.311
880.251,828.05
895.983,833.376
911.993,838.627
928.286,843.8
944.865,848.895
961.736,853.909
978.902,858.839
996.368,863.685
1014.14,868.445
1032.22,873.116
1050.61,877.699
1069.32,882.191
1088.35,886.591
1107.71,890.898
1127.4,895.111
1147.43,899.229
1167.8,903.252
1188.51,907.178
1209.58,911.008
1231,914.74
1252.78,918.375
1274.93,921.912
1297.46,925.351
1320.35,928.693
1343.64,931.937
1367.3,935.084
1391.37,938.134
1415.83,941.088
1440.69,943.946
1465.97,946.709
1491.66,949.378
1517.77,951.954
1544.31,954.438
1571.29,956.831
1598.7,959.134
1626.56,961.349
1654.87,963.476
1683.64,965.519
1712.87,967.477
1742.56,969.351
1772.7,971.144
1803.3,972.857
1834.36,974.492
1865.89,976.051
1897.89,977.536
1930.36,978.949
1963.32,980.291
1996.76,981.566
2030.68,982.775
2065.1,983.921
2100.01,985.006
